date,asset,usd,inr
2024-01-05,btc,44162.69,3677959.0
2024-01-04,btc,44179.92,3570034.5
2024-01-03,btc,42848.18,3743086.25
2024-01-02,btc,44957.97,3674847.75
2024-01-01,btc,44167.33,3517796.0
2023-12-31,btc,42265.19,3508253.0
2023-12-30,btc,42156.9,3503468.0
2023-12-29,btc,42099.4,3533467.25
2023-12-28,btc,42627.86,3617419.25
2023-12-27,btc,43442.86,3536976.75
2023-12-26,btc,42520.4,3627414.0
2023-12-25,btc,43613.14,3577758.0
2023-12-24,btc,43016.12,3645002.0
2023-12-23,btc,43739.54,3666576.0
2023-12-22,btc,43997.9,3646923.5
2023-12-21,btc,43869.15,3634811.5
2023-12-20,btc,43652.25,3512167.0
2023-12-19,btc,42270.53,3543232.5
2023-12-18,btc,42623.54,3434999.5
2023-12-17,btc,41364.66,3507697.75
2023-12-16,btc,42240.12,3481924.75
2023-12-15,btc,41929.76,3583864.5
2023-12-14,btc,43023.97,3572092.75
2023-12-13,btc,42890.74,3456589.5
2023-12-12,btc,41450.22,3437370.75
2023-12-11,btc,41243.83,3652818.5
2023-12-10,btc,43779.7,3648074.5
2023-12-09,btc,43725.98,3684835.0
2023-12-08,btc,44166.6,3608649.5
2023-12-07,btc,43292.66,3645489.75
2023-12-06,btc,43746.45,3672761.75
2023-12-05,btc,44080.65,3502477.5
2023-12-04,btc,41980.1,3327616.25
2023-12-03,btc,39978.39,3286430.5
2023-12-02,btc,39476.33,3220863.5
2023-12-01,btc,38688.75,3143479.75
2023-11-30,btc,37712.75,3154750.0
2023-11-29,btc,37858.49,3154441.25
2023-11-28,btc,37831.09,3105610.0
2023-11-27,btc,37254.17,3122730.5
2023-11-26,btc,37479.12,3149064.25
2023-11-25,btc,37796.79,3142689.75
2023-11-24,btc,37720.28,3107876.0
2023-11-23,btc,37289.62,3120530.25
2023-11-22,btc,37432.34,2984936.0
2023-11-21,btc,35813.81,3122672.0
2023-11-20,btc,37476.96,3114009.5
2023-11-19,btc,37386.55,3047287.25
2023-11-18,btc,36585.7,3048201.75
2023-11-17,btc,36596.68,3005204.25
2023-11-16,btc,36154.77,3151147.25
2023-11-15,btc,37880.58,2950452.25
